Unnamed: 0,CODE,NAME,SECT.,STOCK NO.,CAPT.,2017.12,2018.12,2019.12,2020.12(E),2019.06,2019.09,2019.12,2020.03,2020.06,2020.09(E)
55,001230,동국제강,1차 철강 제조업,"95,432,737","589,228,035,000",2413.0,1450,1646,2472,483.0,792.0,567.0,-197.0,562.0,766.0
56,001250,GS글로벌,상품 종합 도매업,"82,533,764","206,334,410,000",480.0,561.0,583,N/A,177.0,131.0,122.0,195.0,143.0,N/A
57,001260,남광토건,토목 건설업,"9,828,611","49,143,055,000",18,111,48,N/A,4.0,26.0,3.0,17.0,25.0,N/A
60,001340,백광산업,기초 화학물질 제조업,"44,918,407","22,459,203,500",90.0,275.0,212.0,N/A,56.0,48.0,27.0,41.0,49.0,N/A
61,001360,삼성제약,의약품 제조업,"61,549,713","30,774,856,500",-69,-48,-65,N/A,-16.0,-34.0,-22.0,-5.0,-44.0,N/A
62,001380,SG충방,자동차 신품 부품 제조업,"44,964,143","22,482,071,500",-18,52,39,N/A,12.0,-4.0,5.0,8.0,3.0,N/A
63,001390,KG케미칼,기초 화학물질 제조업,"13,013,232","67,374,405,000",762.0,725.0,1180.0,N/A,241.0,274.0,391.0,274.0,585.0,N/A
64,001420,태원물산,자동차 신품 부품 제조업,"7,600,000","3,800,000,000",3.0,-,1.0,N/A,3.0,-2.0,3.0,-4.0,-,N/A
65,001430,세아베스틸,1차 철강 제조업,"35,862,119","219,310,595,000",1885.0,559.0,440.0,587.0,166.0,251.0,-4.0,27.0,108.0,46.0
66,001440,대한전선,절연선 및 케이블 제조업,"856,473,009","428,236,504,500",496,495,332,N/A,3.0,34.0,83.0,212.0,59.0,N/A
68,001460,BYC,봉제의복 제조업,"624,615","4,200,000,000",172.0,213.0,234.0,N/A,62.0,61.0,59.0,23.0,85.0,N/A
69,001470,삼부토건,토목 건설업,"137,546,368","137,546,368,000",-194,-94,50.0,N/A,34.0,11.0,19.0,7.0,22.0,N/A
72,001520,동양,"시멘트, 석회, 플라스터 및 그 제품 제조업","238,684,063","119,850,042,500",68.0,7.0,-201.0,N/A,-56.0,-7.0,-90.0,-48.0,-41.0,N/A
73,001530,디아이동일,상품 중개업,"2,465,609","12,328,045,000",220.0,445.0,486.0,N/A,183.0,133.0,73.0,98.0,193.0,N/A
74,001550,조비,"비료, 농약 및 살균, 살충제 제조업","5,192,239","25,961,195,000",16,19,10.0,N/A,6.0,25.0,-19.0,-2,14.0,N/A
75,001560,제일연마,기타 비금속 광물제품 제조업,"10,000,000","5,000,000,000",63.0,54.0,69.0,N/A,18.0,16.0,19.0,13.0,4.0,N/A
76,001570,금양,기초 화학물질 제조업,"44,048,135","22,024,067,500",131,135.0,92,N/A,35.0,18.0,12.0,31.0,10.0,N/A
