Unnamed: 0,CODE,NAME,SECT.,STOCK NO.,CAPT.,CUR PRICE,PREV PRICE,FR,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
0,000020,동화약품,의약품 제조업,"27,931,470","27,931,470,000",30300,29650,,83.38,352.0,,,2.71,10848.0,
1,000040,KR모터스,그외 기타 운송장비 제조업,"91,661,018","45,830,509,000",718,744,,,-761.0,,,1.91,390.0,
2,000050,경방,종합 소매업,"27,415,270","13,707,635,000",11700,11550,,8.69,1346.0,,,0.42,28062.0,
5,000080,하이트진로,알코올음료 제조업,"70,133,611","368,818,745,000",44300,44050,,642.03,69.0,31.0,1431.0,3.03,14614.0,
6,000100,유한양행,의약품 제조업,"66,856,810","68,037,750,000",66800,66800,,32.41,2061.0,23.0,2902.0,2.41,27766.0,
7,000120,CJ대한통운,도로 화물 운송업,"22,812,344","114,061,720,000",150000,150500,,48.69,3091.0,39.0,3896.0,0.9,166903.0,
11,000210,대림산업,토목 건설업,"34,800,000","218,500,000,000",85800,86100,,4.19,10600.0,,,0.55,80486.0,
12,000220,유유제약,의약품 제조업,"6,753,200","8,427,585,000",17050,17750,,,-119.0,,,0.21,8078.0,
13,000230,일동홀딩스,의약품 제조업,"11,540,400","11,540,400,000",9130,9230,,5.18,16654.0,4.0,20274.0,0.55,157285.0,
15,000270,기아자동차,자동차용 엔진 및 자동차 제조업,"405,363,347","2,139,316,735,000",46350,42200,,23.71,734.0,,,1.39,12500.0,
19,000390,삼화페인트공업,기타 화학제품 제조업,"26,438,751","13,219,375,500",5290,5200,,,-2762.0,,,0.78,11728.0,
21,000430,대원강업,자동차 신품 부품 제조업,"62,000,000","31,000,000,000",3415,3235,,11.86,3561.0,12.0,3562.0,0.59,71692.0,
22,000480,조선내화,"내화, 비내화 요업제품 제조업","4,000,000","20,000,000,000",73200,73300,,2.63,235.0,,,0.8,768.0,
23,000490,대동공업,특수 목적용 기계 제조업,"23,728,210","23,728,210,000",7320,7290,,27.54,187.0,,,0.42,12385.0,
24,000500,가온전선,절연선 및 케이블 제조업,"4,160,347","20,801,735,000",16700,16750,,22.91,141.0,,,0.43,7551.0,
25,000520,삼일제약,의약품 제조업,"6,500,000","6,500,000,000",22100,21500,,18.06,4081.0,,,0.42,176356.0,
29,000650,천일고속,육상 여객 운송업,"1,429,220","7,146,100,000",62000,61900,,33.71,213.0,,,0.66,10855.0,
31,000670,영풍,1차 비철금속 제조업,"1,842,040","9,210,200,000",562000,596000,,12.39,1352.0,,,0.26,64821.0,
32,000680,LS네트웍스,상품 종합 도매업,"78,803,016","394,015,080,000",2200,2215,,99.77,220.0,,,2.12,10361.0,
34,000720,현대건설,토목 건설업,"111,355,765","557,273,105,000",34450,34150,,,-1305.0,,,1.83,33382.0,
35,000760,이화산업,기타 전문 도매업,"2,800,000","14,000,000,000",14100,14150,,37.65,2141.0,14.0,5870.0,1.14,70513.0,
37,000850,화천기공,특수 목적용 기계 제조업,"2,200,000","11,000,000,000",31800,32000,,4.34,134345.0,,,0.3,1919580.0,
38,000860,강남제비스코,기타 화학제품 제조업,"6,500,000","6,500,000,000",15400,15200,,,-1104.0,,,0.32,7004.0,
39,000880,한화,기타 화학제품 제조업,"74,958,735","489,550,145,000",25500,24800,,23.21,240.0,,,0.61,9162.0,
40,000890,보해양조,알코올음료 제조업,"127,449,373","63,724,686,500",864,880,,8.73,3907.0,9.0,3792.0,0.56,60551.0,
41,000910,유니온,"시멘트, 석회, 플라스터 및 그 제품 제조업","15,611,619","7,805,809,500",9180,9550,,,-1325.0,,,0.39,36374.0,
42,000950,전방,방적 및 가공사 제조업,"1,680,000","8,400,000,000",26550,25700,,9.8,3245.0,,,0.23,136013.0,
43,000970,한국주철관공업,1차 철강 제조업,"22,800,500","12,000,000,000",9480,9300,,7.76,1958.0,,,0.19,80662.0,
44,000990,DB하이텍,반도체 제조업,"44,398,588","222,554,520,000",34100,33750,,20.65,1201.0,9.0,2877.0,0.52,47901.0,
45,001020,페이퍼코리아,"펄프, 종이 및 판지 제조업","35,166,280","17,583,140,000",1745,1665,,,-129.0,,,1.38,637.0,
47,001060,JW중외제약,의약품 제조업,"20,920,054","52,956,972,500",37300,38500,,,-1366.0,,,1.63,5863.0,
48,001070,대한방직,직물직조 및 직물제품 제조업,"5,300,000","5,300,000,000",33400,33250,,,-21607.0,,,0.38,67524.0,
49,001080,만호제강,1차 철강 제조업,"4,150,000","4,150,000,000",16800,16500,,16.67,552.0,,,0.73,12528.0,
50,001120,LG상사,상품 중개업,"38,760,000","193,800,000,000",15000,15350,,10.46,3226.0,,,2.14,15768.0,
51,001130,대한제분,"곡물가공품, 전분 및 전분제품 제조업","1,690,000","8,450,000,000",166000,164500,,,-701.0,,,2.84,586.0,
52,001140,국보,도로 화물 운송업,"44,596,337","22,298,168,500",2425,2415,,,-1049.0,,,3.86,9986.0,
55,001230,동국제강,1차 철강 제조업,"95,432,737","589,228,035,000",6300,6140,,,-2329.0,,,0.95,35070.0,
56,001250,GS글로벌,상품 종합 도매업,"82,533,764","206,334,410,000",1720,1730,,34.57,486.0,,,0.22,75855.0,
57,001260,남광토건,토목 건설업,"9,828,611","49,143,055,000",10950,11000,,2.93,5236.0,2.0,7491.0,0.42,36390.0,
60,001340,백광산업,기초 화학물질 제조업,"44,918,407","22,459,203,500",4080,3880,,15.93,10328.0,,,0.36,460154.0,
61,001360,삼성제약,의약품 제조업,"61,549,713","30,774,856,500",4230,4310,,,-755.0,,,2.44,992.0,
62,001380,SG충방,자동차 신품 부품 제조업,"44,964,143","22,482,071,500",1685,1640,,9.27,466.0,,,0.52,8375.0,
63,001390,KG케미칼,기초 화학물질 제조업,"13,013,232","67,374,405,000",21850,23900,,,-3572.0,,,1.14,2978.0,
64,001420,태원물산,자동차 신품 부품 제조업,"7,600,000","3,800,000,000",3515,3450,,,-2019.0,-9.0,-656.0,0.3,20452.0,
65,001430,세아베스틸,1차 철강 제조업,"35,862,119","219,310,595,000",10850,10600,,,-213.0,,,0.39,4401.0,
66,001440,대한전선,절연선 및 케이블 제조업,"856,473,009","428,236,504,500",725,745,,25.29,425.0,,,1.89,5692.0,
68,001460,BYC,봉제의복 제조업,"624,615","4,200,000,000",215000,211000,,8.69,2251.0,,,0.36,53600.0,
69,001470,삼부토건,토목 건설업,"137,546,368","137,546,368,000",926,935,,,-11.0,,,0.63,1638.0,
72,001520,동양,"시멘트, 석회, 플라스터 및 그 제품 제조업","238,684,063","119,850,042,500",1220,1220,,14.28,263.0,,,0.96,3925.0,
73,001530,디아이동일,상품 중개업,"2,465,609","12,328,045,000",82000,77000,,,-187.0,,,1.89,2274.0,
74,001550,조비,"비료, 농약 및 살균, 살충제 제조업","5,192,239","25,961,195,000",26250,26000,,,-2.0,,,0.55,2966.0,
75,001560,제일연마,기타 비금속 광물제품 제조업,"10,000,000","5,000,000,000",6510,6530,,2.87,7636.0,,,0.82,26655.0,
77,001620,케이비아이동국실업,자동차 신품 부품 제조업,"66,042,072","33,021,036,000",586,584,,75.54,46.0,,,0.81,4269.0,
78,001630,종근당홀딩스,의약품 제조업,"5,009,861","12,524,652,500",125500,121500,,16.48,628.0,14.0,751.0,0.2,53049.0,
79,001680,대상,기타 식품 제조업,"34,648,025","36,018,248,000",26500,25850,,,-23.0,,,2.32,320.0,
84,001780,알루코,1차 비철금속 제조업,"74,714,941","37,357,470,500",2680,2100,,7.0,30267.0,,,0.41,519728.0,
85,001790,대한제당,"곡물가공품, 전분 및 전분제품 제조업","8,969,658","24,044,835,000",19950,19950,,13.65,68.0,,,0.61,1521.0,
87,001820,삼화콘덴서공업,전자부품 제조업,"10,395,000","10,395,000,000",63900,64800,,4.44,2286.0,,,0.4,25572.0,
88,001880,대림건설,건물 건설업,"22,053,284","110,266,420,000",28550,29000,,870.0,1.0,,,0.72,1213.0,
89,001940,KISCO홀딩스,1차 철강 제조업,"18,476,380","18,476,380,000",11200,11200,,,-9.0,,,0.3,4052.0,
93,002100,경농,"비료, 농약 및 살균, 살충제 제조업","21,691,750","10,845,875,000",18150,16500,,12.42,6110.0,,,0.28,273380.0,
94,002140,고려산업,"곡물가공품, 전분 및 전분제품 제조업","24,939,425","24,939,425,000",3910,3805,,1235.0,20.0,,,2.64,9342.0,
96,002170,삼양통상,"가죽, 가방 및 유사제품 제조업","3,000,000","15,000,000,000",61000,60200,,11.16,584.0,,,0.6,10956.0,
97,002200,한국수출포장공업,"골판지, 종이 상자 및 종이용기 제조업","4,000,000","20,000,000,000",18650,18750,,,-236.0,,,2.49,1930.0,
98,002210,동성제약,의약품 제조업,"26,100,970","26,100,970,000",13100,13250,,,-117.0,,,0.23,2594.0,
