CODE,NAME,SECT.,STOCK NO.,CAPT.,CUR PRICE,PREV PRICE,FR,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
14200,광림,자동차용 엔진 및 자동차 제조업,"52,922,234","26,461,117,000",,,,N/A,-24,N/A,N/A,1.14,1543,N/A
14570,고려제약,의약품 제조업,"11,000,000","5,500,000,000",,,,39.67,300,N/A,N/A,2.01,5918,0.84
14620,성광벤드,1차 철강 제조업,"28,600,000","14,300,000,000",,,,22.46,333,18,422,0.47,15791,1.34
14940,오리엔탈정공,일반 목적용 기계 제조업,"45,573,661","22,786,830,500",,,,9.17,157,N/A,N/A,1.81,795,N/A
14970,삼륭물산,"골판지, 종이 상자 및 종이용기 제조업","15,125,000","7,562,500,000",,,,94.89,94,N/A,N/A,1.88,4750,0.84
15710,코콤,통신 및 방송 장비 제조업,"17,530,500","8,765,250,000",,,,19.66,325,N/A,N/A,0.92,6967,2.5
15750,성우하이텍,자동차 신품 부품 제조업,"80,000,000","40,000,000,000",,,,N/A,-41,N/A,N/A,0.23,13197,2.58
16100,리더스코스메틱,기타 화학제품 제조업,"18,187,414","9,093,707,000",,,,N/A,-2631,N/A,N/A,2.6,1536,N/A
16250,이테크건설,건물 건설업,"2,800,000","14,000,000,000",,,,13.92,5719,N/A,N/A,0.7,113984,1.88
16670,포비스티앤씨,기타 전문 도매업,"86,559,394","43,279,697,000",,,,164,6,N/A,N/A,0.8,1235,N/A
16790,현대사료,동물용 사료 및 조제식품 제조업,"6,150,486","3,075,243,000",,,,40.59,404,N/A,N/A,1.72,9557,0.61
16920,카스,기계장비 및 관련 물품 도매업,"22,797,640","11,398,820,000",,,,20.14,107,N/A,N/A,0.97,2212,0.46
17000,신원종합개발,건물 건설업,"10,068,027","52,989,616,000",,,,3.99,1247,N/A,N/A,0.55,9109,N/A
17250,인터엠,영상 및 음향기기 제조업,"21,045,467","10,522,733,500",,,,N/A,-617,N/A,N/A,0.68,2654,5.57
17480,삼현철강,1차 철강 제조업,"15,702,890","8,551,445,000",,,,9.44,382,N/A,N/A,0.38,9570,4.16
17510,세명전기,기타 금속 가공제품 제조업,"15,246,000","7,623,000,000",,,,28.04,140,N/A,N/A,0.86,4554,2.04
17650,대림제지,기타 종이 및 판지 제품 제조업,"9,000,000","4,500,000,000",,,,33.83,201,N/A,N/A,0.38,17766,N/A
17890,한국알콜,기타 화학제품 제조업,"21,605,760","10,802,880,000",,,,11.55,1640,N/A,N/A,1.14,16594,0.53
18000,유니슨,일반 목적용 기계 제조업,"108,972,799","54,486,399,500",,,,N/A,-57,N/A,N/A,2.78,733,N/A
18120,진로발효,알코올음료 제조업,"6,621,120","3,533,010,000",,,,14.63,2085,N/A,N/A,2.78,10979,4.43
18290,브이티지엠피,컴퓨터 및 주변장치 제조업,"34,002,081","17,001,040,500",,,,55.76,165,16,560,4.24,2168,N/A
18310,삼목에스폼,"구조용 금속제품, 탱크 및 증기발생기 제조업","14,700,000","7,350,000,000",,,,16.55,470,N/A,N/A,0.28,27547,1.28
18620,우진비앤지,의약품 제조업,"26,518,032","13,259,016,000",,,,N/A,-378,N/A,N/A,3.16,1165,N/A
18680,서울제약,의약품 제조업,"8,485,499","4,242,749,500",,,,N/A,-387,N/A,N/A,1.75,6044,0.14
18700,바른손,"영화, 비디오물, 방송프로그램 제작 및 배급업","29,471,487","29,471,487,000",,,,N/A,-798,N/A,N/A,1.69,1664,N/A
19010,베뉴지,종합 소매업,"48,200,000","24,100,000,000",,,,15.56,107,N/A,N/A,0.26,6425,1.8
19210,와이지-원,기타 금속 가공제품 제조업,"30,573,819","15,286,909,500",,,,N/A,-229,N/A,N/A,0.45,10260,2.6
19540,일지테크,자동차 신품 부품 제조업,"13,513,500","6,756,750,000",,,,N/A,-530,N/A,N/A,0.43,8736,N/A
19550,SBI인베스트먼트,신탁업 및 집합투자업,"162,066,575","83,533,287,500",,,,9.91,78,N/A,N/A,1.26,612,N/A
19570,리더스 기술투자,신탁업 및 집합투자업,"77,634,480","38,817,240,000",,,,N/A,-200,N/A,N/A,1.31,348,N/A
19590,엠벤처투자,신탁업 및 집합투자업,"60,142,180","30,071,090,000",,,,8.15,110,N/A,N/A,1.48,607,N/A
19660,글로본,상품 종합 도매업,"29,083,136","14,541,568,000",,,,N/A,-317,N/A,N/A,5.12,662,N/A
19770,서연탑메탈,특수 목적용 기계 제조업,"11,650,000","5,825,000,000",,,,N/A,-41,N/A,N/A,0.61,5653,1.74
19990,에너토크,일반 목적용 기계 제조업,"9,756,088","4,878,044,000",,,,112.73,33,N/A,N/A,0.91,4084,1.34
20180,대신정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","38,428,915","19,214,457,500",,,,30.77,39,N/A,N/A,1.77,678,0.83
20400,대동금속,금속 주조업,"2,607,711","2,607,711,000",,,,N/A,-186,N/A,N/A,0.62,13537,0.71
20710,시공테크,전문디자인업,"20,047,970","10,023,985,000",,,,6.72,758,N/A,N/A,0.92,5532,1.57
21040,대호피앤씨,1차 철강 제조업,"73,112,826","38,677,646,000",,,,N/A,-25,N/A,N/A,0.77,914,N/A
21080,에이티넘인베스트,신탁업 및 집합투자업,"48,000,000","24,000,000,000",,,,25.39,89,N/A,N/A,1.42,1590,2.21
21320,KCC건설,건물 건설업,"21,400,000","107,000,000,000",,,,5.14,1507,N/A,N/A,0.42,18317,1.93
21650,한국큐빅,플라스틱제품 제조업,"16,350,563","8,175,281,500",,,,10.12,303,N/A,N/A,0.84,3645,0.82
22100,포스코 ICT,"건축기술, 엔지니어링 및 관련 기술 서비스업","152,034,729","76,017,364,500",,,,16.45,269,N/A,N/A,1.85,2388,1.13
22220,정산애강,플라스틱제품 제조업,"51,794,579","25,897,289,500",,,,9.8,199,N/A,N/A,1.21,1617,N/A
23160,태광,1차 철강 제조업,"26,500,000","13,250,000,000",,,,21.88,340,17,432,0.45,16659,1.34
23410,유진기업,"시멘트, 석회, 플라스터 및 그 제품 제조업","77,310,863","38,655,431,500",,,,10.92,384,N/A,N/A,0.39,10782,3.58
23440,제일제강,1차 철강 제조업,"29,492,393","14,746,196,500",,,,N/A,-153,N/A,N/A,0.83,2012,N/A
23460,CNH,신탁업 및 집합투자업,"37,200,000","93,000,000,000",,,,1545,1,N/A,N/A,0.59,2616,1.94
23600,삼보판지,"펄프, 종이 및 판지 제조업","16,170,000","8,085,000,000",,,,4.05,1950,N/A,N/A,0.35,22555,1.58
23770,플레이위드,소프트웨어 개발 및 공급업,"8,646,567","4,323,283,500",,,,4.7,2362,N/A,N/A,3.43,3240,N/A
23790,동일철강,1차 철강 제조업,"7,345,085","3,672,542,500",,,,5.53,633,N/A,N/A,0.42,8287,N/A
23890,한국아트라스비엑스,일차전지 및 축전지 제조업,"9,150,000","9,150,000,000",,,,8.53,5345,N/A,N/A,0.46,99656,0.88
23900,풍국주정,알코올음료 제조업,"12,600,000","6,300,000,000",,,,39.67,600,N/A,N/A,2.25,10582,0.67
23910,대한약품,의약품 제조업,"6,000,000","3,000,000,000",,,,6.49,4784,N/A,N/A,1.09,28600,1.29
24060,흥구석유,기타 전문 도매업,"15,000,000","1,500,000,000",,,,12.83,555,N/A,N/A,1.37,5182,2.11
24120,KB오토시스,자동차 신품 부품 제조업,"11,500,000","5,750,000,000",,,,8.2,796,N/A,N/A,0.73,8920,3.52
24740,한일단조,자동차 신품 부품 제조업,"29,891,328","14,945,664,000",,,,65.86,29,N/A,N/A,0.52,3659,N/A
24800,유성티엔에스,육상 여객 운송업,"27,213,580","13,606,790,000",,,,2.62,858,N/A,N/A,0.27,8445,0.67
24810,이화전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","718,312,032","143,662,406,400",,,,N/A,-2,N/A,N/A,0.5,290,N/A
24830,세원물산,자동차 신품 부품 제조업,"8,350,000","4,175,000,000",,,,4.48,1401,N/A,N/A,0.27,22886,0.4
24840,KBI메탈,1차 비철금속 제조업,"32,950,848","16,475,424,000",,,,6.23,203,N/A,N/A,0.47,2709,N/A
24850,피에스엠씨,전자부품 제조업,"40,016,523","20,008,261,500",,,,416.5,2,N/A,N/A,1.63,510,N/A
24880,케이피에프,기타 금속 가공제품 제조업,"17,449,357","8,724,678,500",,,,14.66,282,N/A,N/A,0.42,9827,3.87
24910,경창산업,자동차 신품 부품 제조업,"35,819,005","17,909,502,500",,,,N/A,-1912,N/A,N/A,0.5,2008,N/A
24940,PN풍년,기타 금속 가공제품 제조업,"10,000,000","5,000,000,000",,,,6.5,558,N/A,N/A,0.87,4163,0.69
24950,삼천리자전거,생활용품 도매업,"13,273,577","6,636,788,500",,,,N/A,-348,N/A,N/A,1.91,6583,N/A
25320,시노펙스,전자부품 제조업,"72,561,128","36,713,620,500",,,,55.62,112,N/A,N/A,5.1,1221,N/A
25440,대성엘텍,영상 및 음향기기 제조업,"99,661,343","49,830,671,500",,,,N/A,-93,N/A,N/A,1.75,380,N/A
25550,한국선재,1차 철강 제조업,"24,522,254","12,261,127,000",,,,38.67,79,N/A,N/A,0.8,3824,N/A
25770,한국정보통신,전기 통신업,"37,444,271","19,406,371,500",,,,16.62,565,N/A,N/A,1.72,5474,N/A
25870,신라에스지,음·식료품 및 담배 도매업,"4,000,000","2,000,000,000",,,,45,206,N/A,N/A,2.38,3898,N/A
25880,케이씨피드,동물용 사료 및 조제식품 제조업,"16,715,858","8,357,929,000",,,,N/A,-368,N/A,N/A,0.59,3316,0.77
25900,동화기업,나무제품 제조업,"20,198,382","10,599,191,000",,,,53.73,992,54,988,1.76,30278,0.28
25950,동신건설,토목 건설업,"8,400,000","4,200,000,000",,,,170.11,87,N/A,N/A,1.43,10372,N/A
25980,아난티,일반 및 생활 숙박시설 운영업,"85,178,787","8,517,878,700",,,,N/A,-408,N/A,N/A,2.45,4225,N/A
26040,제이에스티나,귀금속 및 장신용품 제조업,"16,503,790","8,684,795,000",,,,N/A,-2118,N/A,N/A,0.85,2670,N/A
26150,특수건설,토목 건설업,"15,625,726","7,812,863,000",,,,39.36,172,N/A,N/A,1.16,5819,N/A
26910,광진실업,1차 철강 제조업,"6,405,405","3,202,702,500",,,,N/A,-240,N/A,N/A,0.74,4270,N/A
27040,서울전자통신,기계장비 및 관련 물품 도매업,"69,588,847","34,794,423,500",,,,11.33,69,N/A,N/A,0.58,1341,N/A
27050,코리아나,기타 화학제품 제조업,"40,000,000","20,000,000,000",,,,N/A,-29,N/A,N/A,2.11,2523,N/A
27580,상보,플라스틱제품 제조업,"46,697,997","23,348,998,500",,,,N/A,-233,N/A,N/A,1.57,672,N/A
27710,팜스토리,동물용 사료 및 조제식품 제조업,"111,416,600","57,508,629,000",,,,N/A,-49,N/A,N/A,0.85,1424,2.07
27830,대성창투,신탁업 및 집합투자업,"40,000,000","20,000,000,000",,,,234.38,8,N/A,N/A,1.49,1255,N/A
28040,미래SCI,상품 중개업,"44,979,502","22,489,751,000",,,,N/A,-554,N/A,N/A,0.78,358,N/A
28150,GS홈쇼핑,텔레비전 방송업,"6,562,500","32,812,500,000",,,,6.92,15849,6,17234,0.57,191126,5.93
28300,에이치엘비,선박 및 보트 건조업,"52,654,740","26,327,370,000",,,,N/A,-1039,N/A,N/A,21.1,3948,N/A
29480,바른테크놀로지,통신 및 방송 장비 제조업,"61,935,285","6,193,528,500",,,,N/A,-135,N/A,N/A,1.6,348,N/A
29960,코엔텍,폐기물 처리업,"50,000,000","25,000,000,000",,,,20.89,460,N/A,N/A,3.57,2694,5.62
30190,NICE평가정보,기타 정보 서비스업,"60,714,820","30,357,410,000",,,,29.17,696,28,728,5.53,3668,1.13
30350,드래곤플라이,소프트웨어 개발 및 공급업,"16,008,491","8,004,245,500",,,,N/A,-346,N/A,N/A,4.52,720,N/A
30520,한글과컴퓨터,소프트웨어 개발 및 공급업,"24,440,319","12,881,216,500",,,,17.03,1004,N/A,N/A,1.63,10495,N/A
30960,양지사,인쇄 및 인쇄관련 산업,"15,980,000","7,990,000,000",,,,1.24,7677,N/A,N/A,0.7,13617,0.53
31310,아이즈비전,전기 통신업,"15,772,574","7,886,287,000",,,,184.76,21,N/A,N/A,0.64,6070,N/A
31330,에스에이엠티,기계장비 및 관련 물품 도매업,"99,995,067","49,997,533,500",,,,5.49,408,N/A,N/A,0.92,2423,6.25
31390,녹십자셀,기초 의약물질 및 생물학적 제제 제조업,"12,111,150","6,055,575,000",,,,N/A,-234,N/A,N/A,7.16,6806,0.2
31510,오스템,자동차 신품 부품 제조업,"26,000,000","13,000,000,000",,,,N/A,-558,N/A,N/A,0.5,4452,0.89
31860,엔에스엔,상품 종합 도매업,"43,106,126","21,553,063,000",,,,N/A,-279,N/A,N/A,1.16,982,N/A
31980,피에스케이홀딩스,특수 목적용 기계 제조업,"21,562,395","10,781,197,500",,,,0.87,8343,N/A,N/A,0.79,9199,2.07
32080,아즈텍WB,"섬유제품 염색, 정리 및 마무리 가공업","21,491,029","10,745,514,500",,,,11.96,140,N/A,N/A,0.37,4535,N/A
32190,다우데이타,기계장비 및 관련 물품 도매업,"38,300,000","19,150,000,000",,,,13.26,1139,N/A,N/A,0.9,16787,1.19
32280,삼일,도로 화물 운송업,"16,213,590","16,213,590,000",,,,10.81,167,N/A,N/A,0.43,4232,2.77
32500,케이엠더블유,통신 및 방송 장비 제조업,"39,820,883","19,910,441,500",,,,31.52,2402,21,3684,12.88,5876,N/A
32540,TJ미디어,영상 및 음향기기 제조업,"13,931,609","6,965,804,500",,,,11.16,245,N/A,N/A,0.48,5655,1.83
32580,피델릭스,반도체 제조업,"30,113,422","15,056,711,000",,,,N/A,-55,N/A,N/A,1.03,1376,N/A
32620,유비케어,소프트웨어 개발 및 공급업,"52,197,139","26,098,569,500",,,,81.25,144,N/A,N/A,5.75,2036,0.34
32680,소프트센,기계장비 및 관련 물품 도매업,"33,575,801","16,859,329,000",,,,N/A,-149,N/A,N/A,2.18,957,N/A
32750,삼진,통신 및 방송 장비 제조업,"6,000,000","3,000,000,000",,,,4.79,2025,N/A,N/A,0.75,12891,2.06
32790,엠젠플러스,기계장비 및 관련 물품 도매업,"18,137,619","9,068,809,500",,,,N/A,-838,N/A,N/A,3.31,1231,N/A
32800,판타지오,창작 및 예술관련 서비스업,"72,703,943","36,351,971,500",,,,N/A,-198,N/A,N/A,2.51,342,N/A
32820,우리기술,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","104,606,484","52,303,242,000",,,,N/A,-90,N/A,N/A,2.16,341,N/A
32850,비트컴퓨터,소프트웨어 개발 및 공급업,"16,623,293","8,311,646,500",,,,32.95,349,N/A,N/A,3.9,2952,0.53
32860,글로스퍼랩스,"해체, 선별 및 원료 재생업","73,558,840","36,779,420,000",,,,N/A,-840,N/A,N/A,0.09,2683,N/A
32940,원익,기계장비 및 관련 물품 도매업,"18,193,230","9,096,615,000",,,,N/A,-1365,N/A,N/A,0.88,3957,N/A
32960,동일기연,전자부품 제조업,"3,407,309","4,953,654,500",,,,23.43,397,N/A,N/A,0.57,16229,0.41
32980,바이온,음·식료품 및 담배 도매업,"59,193,228","29,596,614,000",,,,N/A,-396,N/A,N/A,1.7,641,N/A
33050,제이엠아이,기록매체 복제업,"32,579,342","32,579,342,000",,,,N/A,-186,N/A,N/A,0.99,1100,N/A
33100,제룡전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","16,062,409","8,031,204,500",,,,14.8,369,N/A,N/A,1.56,3493,0.92
33110,코너스톤네트웍스,종합 소매업,"129,772,391","64,886,195,500",,,,N/A,-440,N/A,N/A,0.76,270,N/A
33130,디지틀조선,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","37,115,267","18,557,633,500",,,,38.74,95,N/A,N/A,1.79,2055,0.81
33160,엠케이전자,전자부품 제조업,"21,807,689","10,903,844,500",,,,22.43,497,N/A,N/A,0.73,15256,0.36
33170,시그네틱스,반도체 제조업,"85,728,319","42,864,159,500",,,,N/A,-235,N/A,N/A,0.48,1465,N/A
33200,모아텍,전자부품 제조업,"14,331,185","7,665,592,500",,,,N/A,-175,N/A,N/A,0.56,8050,N/A
33230,인성정보,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","20,896,180","10,448,090,000",,,,N/A,-221,N/A,N/A,2.2,1688,N/A
33290,코웰패션,"섬유, 의복, 신발 및 가죽제품 소매업","88,500,234","46,532,198,500",,,,11.32,576,N/A,N/A,2.29,2843,1.53
33310,디케이디앤아이,기타 금속 가공제품 제조업,"21,972,411","10,986,205,500",,,,27.78,178,N/A,N/A,1.82,2714,N/A
33320,제이씨현시스템,기계장비 및 관련 물품 도매업,"19,114,432","9,557,216,000",,,,57.08,106,N/A,N/A,1.31,4633,N/A
33340,좋은사람들,봉제의복 제조업,"49,908,224","24,954,112,000",,,,N/A,-307,N/A,N/A,0.89,2159,N/A
33430,디에스티,특수 목적용 기계 제조업,"64,191,253","6,419,125,300",,,,N/A,-313,N/A,N/A,7.55,49,N/A
33500,동성화인텍,기초 화학물질 제조업,"26,983,609","13,821,804,500",,,,16.95,577,11,862,2.74,3571,2.25
33540,파라텍,특수 목적용 기계 제조업,"16,983,690","8,491,845,000",,,,N/A,-1414,N/A,N/A,1.65,3566,N/A
33560,블루콤,영상 및 음향기기 제조업,"18,088,047","9,600,000,000",,,,51.34,157,N/A,N/A,0.89,9105,N/A
33600,럭슬,자동차 신품 부품 제조업,"40,828,103","20,414,051,500",,,,N/A,-448,N/A,N/A,0.23,784,N/A
33640,네패스,반도체 제조업,"23,059,202","11,629,601,000",,,,31.2,1072,-205,-163,3.81,8770,0.81
33790,스카이문스테크놀로지,통신 및 방송 장비 제조업,"17,117,100","8,558,550,000",,,,N/A,-855,N/A,N/A,0.91,911,N/A
33830,티비씨,텔레비전 방송업,"100,000,000","50,000,000,000",,,,12.58,53,N/A,N/A,0.58,1149,2.4
34230,파라다이스,유원지 및 기타 오락관련 서비스업,"90,942,672","47,032,355,000",,,,61.49,222,-18,-761,0.93,14691,0.73
34940,조아제약,의약품 제조업,"30,979,827","15,489,913,500",,,,N/A,-74,N/A,N/A,2.89,1846,N/A
34950,한국기업평가,기타 사업지원 서비스업,"4,540,514","24,452,570,000",,,,17.91,4684,N/A,N/A,5.09,16480,10.27
35080,인터파크,무점포 소매업,"81,189,163","41,765,628,000",,,,N/A,-108,N/A,N/A,0.41,5596,3.03
35200,프럼파스트,플라스틱제품 제조업,"9,730,590","4,865,295,000",,,,43.3,106,N/A,N/A,1.17,3928,N/A
35290,더블유에프엠,"서적, 잡지 및 기타 인쇄물 출판업","2,570,137","1,285,068,500",,,,N/A,-6800,N/A,N/A,58.46,201,N/A
35460,기산텔레콤,통신 및 방송 장비 제조업,"14,577,340","7,288,670,000",,,,7.71,396,N/A,N/A,1.38,2220,N/A
35600,KG이니시스,소프트웨어 개발 및 공급업,"27,904,434","13,952,217,000",,,,13.41,1779,N/A,N/A,2.58,9241,1.38
35610,솔본,회사 본부 및 경영 컨설팅 서비스업,"27,345,997","13,672,998,500",,,,N/A,-277,N/A,N/A,0.66,5155,N/A
35620,바른손이앤에이,"영화, 비디오물, 방송프로그램 제작 및 배급업","73,473,503","36,736,751,500",,,,N/A,-156,N/A,N/A,1.46,1153,N/A
35760,CJ ENM,텔레비전 방송업,"21,929,154","110,577,370,000",,,,30.02,4041,18,6641,0.81,150433,1.15
35810,이지홀딩스,동물용 사료 및 조제식품 제조업,"55,640,623","28,196,251,000",,,,131.58,38,N/A,N/A,0.85,5888,1
35890,서희건설,건물 건설업,"207,081,188","103,540,594,000",,,,3.22,357,N/A,N/A,0.59,1962,2.61
35900,JYP Ent.,오디오물 출판 및 원판 녹음업,"35,494,992","17,942,201,500",,,,31.86,1020,37,871,6.48,5018,0.48
36000,예림당,"서적, 잡지 및 기타 인쇄물 출판업","23,034,277","11,617,138,500",,,,N/A,-1391,N/A,N/A,0.25,8866,N/A
36010,아비코전자,전자부품 제조업,"13,292,934","6,896,467,000",,,,N/A,-514,N/A,N/A,0.78,7569,1.19
36030,KTH,상품 중개업,"35,715,022","35,715,022,000",,,,N/A,-104,N/A,N/A,1.02,5472,N/A
36090,위지트,특수 목적용 기계 제조업,"83,992,986","41,996,493,000",,,,37.72,18,N/A,N/A,0.75,903,N/A
36120,SCI평가정보,기타 정보 서비스업,"35,500,000","17,750,000,000",,,,30.64,171,N/A,N/A,8.63,607,1.32
36170,라이브파이낸셜,반도체 제조업,"45,121,437","45,121,437,000",,,,N/A,-354,N/A,N/A,0.62,2285,N/A
36180,에이프런티어,기계장비 및 관련 물품 도매업,"17,600,341","8,800,170,500",,,,N/A,-366,N/A,N/A,0.97,1243,N/A
36190,금화피에스시,전기 및 통신 공사업,"6,000,000","3,000,000,000",,,,5.6,4480,N/A,N/A,0.64,39421,5.18
36200,유니셈,특수 목적용 기계 제조업,"30,664,223","15,332,111,500",,,,9.27,796,N/A,N/A,1.61,4590,0.68
36260,이매진아시아,"영화, 비디오물, 방송프로그램 제작 및 배급업","43,778,171","21,889,085,500",,,,N/A,-511,N/A,N/A,8.54,260,N/A
36480,대성미생물,의약품 제조업,"3,800,000","1,900,000,000",,,,23.62,760,N/A,N/A,1.92,9354,0.47
36490,SK머티리얼즈,기초 화학물질 제조업,"10,547,673","5,273,836,500",,,,19.91,12129,17,13818,4.87,49626,1.59
36540,SFA반도체,반도체 제조업,"164,460,303","82,487,451,500",,,,36.96,161,N/A,N/A,2.9,2054,N/A
36560,영풍정밀,일반 목적용 기계 제조업,"15,750,000","7,875,000,000",,,,8.4,885,N/A,N/A,0.45,16492,4.04
36620,버추얼텍,기타 전문 도매업,"60,559,477","30,279,738,500",,,,N/A,-107,N/A,N/A,2.96,264,N/A
36630,세종텔레콤,전기 통신업,"600,326,126","300,163,063,000",,,,N/A,-48,N/A,N/A,0.53,505,N/A
36640,HRS,합성고무 및 플라스틱 물질 제조업,"16,354,800","8,177,400,000",,,,17.57,189,N/A,N/A,0.72,4588,N/A
36670,KCI,기타 화학제품 제조업,"11,270,000","5,635,000,000",,,,10.09,1060,N/A,N/A,1.73,6199,1.87
36690,코맥스,통신 및 방송 장비 제조업,"14,991,767","7,495,883,500",,,,26.28,239,N/A,N/A,1.38,4538,0.77
36710,심텍홀딩스,통신 및 방송 장비 제조업,"38,288,234","19,144,117,000",,,,N/A,-40,N/A,N/A,0.7,3214,0.44
36800,나이스정보통신,전기 통신업,"10,000,000","5,000,000,000",,,,8.75,2777,N/A,N/A,0.99,24618,1.89
36810,에프에스티,전자부품 제조업,"20,233,814","10,116,907,000",,,,24.92,969,N/A,N/A,3.72,6492,0.33
36830,솔브레인홀딩스,기타 화학제품 제조업,"9,619,705","4,809,852,500",,,,9.67,7754,N/A,N/A,1.44,52181,1.13
36890,진성티이씨,특수 목적용 기계 제조업,"22,482,268","11,241,134,000",,,,8.49,925,N/A,N/A,1.09,7221,2.55
36930,주성엔지니어링,특수 목적용 기계 제조업,"48,249,212","24,124,606,000",,,,24.6,313,N/A,N/A,1.56,4932,0.91
37030,파워넷,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","13,599,551","13,599,551,000",,,,10.5,438,N/A,N/A,1.03,4458,N/A
37070,파세코,가정용 기기 제조업,"14,000,000","7,000,000,000",,,,23.77,589,N/A,N/A,2.74,5118,1.79
37230,한국팩키지,"골판지, 종이 상자 및 종이용기 제조업","25,000,000","12,500,000,000",,,,48.73,59,N/A,N/A,1.83,1573,1.22
37330,인지디스플레,전자부품 제조업,"43,885,224","21,942,612,000",,,,16.19,109,N/A,N/A,0.45,3930,4.25
37350,성도이엔지,"건축기술, 엔지니어링 및 관련 기술 서비스업","15,470,000","7,735,000,000",,,,N/A,-4207,N/A,N/A,0.36,9848,1.41
37370,EG,기타 전문 도매업,"7,500,000","7,500,000,000",,,,N/A,-244,N/A,N/A,2.09,4209,N/A
37400,우리조명,전구 및 조명장치 제조업,"24,923,346","12,461,673,000",,,,35.31,32,N/A,N/A,0.36,3104,N/A
37440,희림,"건축기술, 엔지니어링 및 관련 기술 서비스업","13,922,475","6,961,237,500",,,,15.39,242,N/A,N/A,0.92,4071,4.03
37460,삼지전자,통신 및 방송 장비 제조업,"16,318,522","8,309,261,000",,,,10.93,1089,N/A,N/A,0.9,13260,1.18
37760,쎄니트,1차 철강 제조업,"33,832,921","16,916,460,500",,,,6.03,300,N/A,N/A,0.76,2377,1.66
37950,엘컴텍,전자부품 제조업,"84,447,519","42,223,759,500",,,,336.67,6,N/A,N/A,2.4,841,1.73
38010,제일테크노스,"구조용 금속제품, 탱크 및 증기발생기 제조업","9,000,000","4,500,000,000",,,,20.48,294,N/A,N/A,0.67,9049,1.5
38060,루멘스,반도체 제조업,"47,718,750","23,859,375,000",,,,N/A,-1128,N/A,N/A,0.7,2636,N/A
38070,서린바이오,기타 전문 도매업,"8,000,676","4,000,338,000",,,,11.24,1188,N/A,N/A,1.72,7775,0.7
38110,에코플라스틱,자동차 신품 부품 제조업,"25,669,370","12,834,685,000",,,,N/A,-154,N/A,N/A,0.35,4169,2.07
38160,팍스넷,기타 정보 서비스업,"12,240,376","6,120,188,000",,,,N/A,-2999,N/A,N/A,1.16,746,N/A
38290,마크로젠,"그외 기타 전문, 과학 및 기술 서비스업","10,611,654","5,305,827,000",,,,N/A,-1200,N/A,N/A,3.32,11269,N/A
38340,UCI,일반 교습 학원,"33,115,421","16,607,710,500",,,,N/A,-361,N/A,N/A,3.09,1089,N/A
38390,레드캡투어,여행사 및 기타 여행보조 서비스업,"8,589,480","4,294,740,000",,,,6.16,2502,N/A,N/A,0.75,20531,5.2
38460,바이오스마트,전자부품 제조업,"20,087,800","10,043,900,000",,,,11.76,1042,N/A,N/A,2.29,5359,0.51
38500,삼표시멘트,기타 비금속 광물제품 제조업,"107,357,173","53,678,586,500",,,,12.87,291,N/A,N/A,0.64,5871,1.34
38530,골드퍼시픽,생활용품 도매업,"44,638,392","22,319,196,000",,,,N/A,-1188,N/A,N/A,3.53,392,N/A
38540,상상인,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","55,328,313","57,187,237,000",,,,3.63,1624,N/A,N/A,0.63,9435,3.39
38620,위즈코프,연료 소매업,"38,830,772","19,415,386,000",,,,N/A,-9,N/A,N/A,0.87,1136,N/A
38680,에스넷,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","16,075,215","8,037,607,500",,,,40.33,184,N/A,N/A,1.61,4621,1.62
38870,에코바이오,사업시설 유지·관리 서비스업,"11,610,994","5,805,497,000",,,,10.6,783,N/A,N/A,1.48,5603,N/A
38880,아이에이,전자부품 제조업,"241,417,281","24,141,728,100",,,,445,1,N/A,N/A,1.78,250,N/A
38950,파인디지털,통신 및 방송 장비 제조업,"10,210,765","5,105,382,500",,,,32.75,153,N/A,N/A,0.52,9657,1
39010,현대통신,통신 및 방송 장비 제조업,"8,625,000","4,312,500,000",,,,7.8,885,N/A,N/A,0.71,9720,4.35
39020,이건홀딩스,제재 및 목재 가공업,"22,584,709","22,584,709,000",,,,72.5,36,N/A,N/A,0.37,6968,2.68
39030,이오테크닉스,특수 목적용 기계 제조업,"12,319,550","6,159,775,000",,,,80.33,1571,N/A,N/A,3.87,32594,0.12
39200,오스코텍,의약품 제조업,"29,200,311","14,600,155,500",,,,N/A,-843,N/A,N/A,20.12,1506,N/A
39230,에이아이비트,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","104,362,573","52,181,286,500",,,,N/A,-150,N/A,N/A,0.36,504,N/A
39240,경남스틸,1차 철강 제조업,"25,000,000","2,500,000,000",,,,9.74,176,N/A,N/A,0.5,3445,5.25
39290,인포뱅크,기타 정보 서비스업,"8,693,978","4,346,989,000",,,,84.34,83,N/A,N/A,1.12,6236,0.14
