,NAME,CODE,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
0,일동홀딩스,000230,9090.0,N/A,-2762.0,N/A,N/A,0.78,11728.0,1.05
0,종근당바이오,063160,58000.0,25.56,2269.0,N/A,N/A,1.95,29682.0,0.33
0,한국내화,010040,3395.0,42.97,79.0,N/A,N/A,0.55,6175.0,1.03
0,한솔홈데코,025750,1120.0,N/A,-101.0,N/A,N/A,0.58,1924.0,N/A
0,효성중공업,298040,45300.0,N/A,-5348.0,N/A,N/A,0.49,91524.0,N/A
0,HSD엔진,082740,4715.0,N/A,-704.0,13.0,366.0,0.8,5904.0,N/A
0,SK가스,018670,91900.0,3.26,28219.0,N/A,N/A,0.48,192247.0,3.23
0,계양전기,012200,3595.0,1797.5,2.0,N/A,N/A,0.66,5460.0,0.97
0,다우기술,023590,21050.0,7.33,2873.0,N/A,N/A,0.7,30107.0,1.9
0,동남합성,023450,33750.0,6.32,5342.0,N/A,N/A,1.58,21411.0,0.59
0,무림P&P,009580,3185.0,N/A,-61.0,N/A,N/A,0.33,9623.0,5.49
0,삼화페인트,000390,5230.0,27.97,187.0,N/A,N/A,0.42,12385.0,2.39
0,아남전자,008700,1665.0,N/A,-22.0,N/A,N/A,2.18,763.0,N/A
0,오리엔트바이오,002630,838.0,N/A,-107.0,N/A,N/A,1.64,510.0,N/A
0,일신석재,007110,2345.0,293.12,8.0,N/A,N/A,3.5,670.0,N/A
0,스카이라이프,053210,9380.0,7.65,1226.0,6.0,1464.0,0.64,14715.0,3.73
0,한국단자,025540,38650.0,10.86,3558.0,N/A,N/A,0.56,68828.0,1.81
0,현대글로비스,086280,119000.0,8.01,14848.0,9.0,13297.0,0.96,123877.0,2.94
0,SK디스커버리,006120,50900.0,4.32,11791.0,N/A,N/A,0.6,84367.0,1.38
0,노루홀딩스,000320,9150.0,14.39,636.0,N/A,N/A,0.26,35132.0,4.37
0,동아에스티,170900,102500.0,8.91,11509.0,N/A,N/A,1.24,82868.0,0.98
0,롯데하이마트,071840,29650.0,N/A,-4402.0,9.0,3452.0,0.37,80809.0,3.37
0,서울가스,017390,66900.0,11.03,6063.0,N/A,N/A,0.27,251517.0,2.62
0,우리들제약,004720,14500.0,N/A,-115.0,N/A,N/A,2.93,4947.0,N/A
0,이화산업,000760,14300.0,N/A,-1325.0,N/A,N/A,0.39,36374.0,N/A
0,천일고속,000650,61600.0,N/A,-1305.0,N/A,N/A,1.85,33382.0,8.12
0,풍산,103140,25350.0,134.13,189.0,14.0,1873.0,0.52,49014.0,1.58
0,한전산업,130660,3240.0,6.28,516.0,N/A,N/A,1.27,2555.0,7.01
0,화신,010690,2515.0,N/A,-805.0,N/A,N/A,0.3,8302.0,1.99
0,GS,078930,35200.0,68.22,516.0,11.0,3108.0,0.4,89099.0,5.4
