,NAME,CODE,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
775,GKL,114090,12850.0,10.14,1267.0,234.0,55.0,1.4,9169.0,5.13
776,락앤락,115390,12200.0,53.51,228.0,N/A,N/A,0.94,12916.0,N/A
777,대성에너지,117580,5020.0,13.49,372.0,N/A,N/A,0.44,11328.0,4.98
778,우리들휴브레인,118000,3380.0,N/A,-156.0,N/A,N/A,3.29,1028.0,N/A
779,KC코트렐,119650,6240.0,N/A,-293.0,N/A,N/A,1.15,5432.0,0.48
780,조선선재,120030,108000.0,9.33,11573.0,N/A,N/A,1.0,107528.0,1.39
781,코오롱인더,120110,35250.0,6.05,5824.0,5.0,7778.0,0.5,70894.0,2.55
782,코오롱인더우,120115,19200.0,3.3,5824.0,2.0,7778.0,0.27,70894.0,4.95
783,아이마켓코리아,122900,8350.0,18.43,453.0,N/A,N/A,0.77,10836.0,7.19
784,한국화장품,123690,14100.0,N/A,-1202.0,N/A,N/A,6.86,2054.0,N/A
785,SJM,123700,2585.0,4.17,620.0,N/A,N/A,0.25,10466.0,4.84
786,한국자산신탁,123890,3145.0,4.1,767.0,N/A,N/A,0.57,5472.0,5.79
787,현대에이치씨엔,126560,4200.0,13.25,317.0,N/A,N/A,0.62,6748.0,1.43
788,대성산업,128820,3200.0,N/A,-1768.0,N/A,N/A,0.26,12325.0,N/A
789,한미약품,128940,375500.0,94.8,3961.0,97.0,3890.0,6.07,61812.0,0.13
790,인터지스,129260,2580.0,N/A,-771.0,N/A,N/A,0.4,6490.0,N/A
791,한전산업,130660,3225.0,6.25,516.0,N/A,N/A,1.26,2555.0,7.04
792,화인베스틸,133820,2645.0,N/A,-338.0,N/A,N/A,0.87,3034.0,N/A
793,미원화학,134380,50800.0,7.42,6849.0,N/A,N/A,0.98,51597.0,1.97
794,시디즈,134790,57100.0,12.54,4553.0,N/A,N/A,2.72,21002.0,0.52
795,선진,136490,9950.0,8.66,1149.0,N/A,N/A,0.71,13947.0,0.5
796,메리츠금융지주,138040,9100.0,3.31,2753.0,N/A,N/A,0.44,20753.0,6.04
797,엔에스쇼핑,138250,12550.0,N/A,-186.0,43.0,295.0,0.97,12990.0,1.2
798,코오롱플라스틱,138490,4500.0,50.56,89.0,N/A,N/A,0.88,5087.0,1.56
799,BNK금융지주,138930,5200.0,3.24,1604.0,3.0,1501.0,0.2,26014.0,6.92
800,DGB금융지주,139130,5320.0,2.89,1843.0,3.0,1684.0,0.19,28106.0,7.71
801,이마트,139480,115000.0,14.93,7705.0,11.0,10862.0,0.36,316506.0,1.74
802,핸즈코퍼레이션,143210,6630.0,19.97,332.0,N/A,N/A,0.44,15176.0,1.96
803,코오롱머티리얼,144620,2950.0,N/A,-562.0,N/A,N/A,2.95,1001.0,N/A
804,세화아이엠씨,145210,1145.0,N/A,-101.0,N/A,N/A,1.97,582.0,N/A
805,덴티움,145720,43200.0,53.47,808.0,14.0,3092.0,1.76,24534.0,N/A
806,삼양사,145990,63000.0,13.34,4724.0,N/A,N/A,0.57,110369.0,1.59
807,삼양사우,145995,52700.0,11.16,4724.0,N/A,N/A,0.48,110369.0,1.99
808,코리아오토글라스,152330,14400.0,8.55,1684.0,N/A,N/A,0.81,17723.0,6.25
809,DSR,155660,3970.0,7.15,555.0,N/A,N/A,0.41,9740.0,1.26
810,애경유화,161000,7550.0,6.27,1205.0,N/A,N/A,0.65,11586.0,4.64
811,한국타이어앤테크놀로지,161390,28000.0,8.81,3178.0,10.0,2695.0,0.48,58634.0,1.96
812,한국콜마,161890,47150.0,39.29,1200.0,18.0,2580.0,2.26,20882.0,0.7
813,동일고무벨트,163560,7950.0,8.82,901.0,N/A,N/A,0.55,14564.0,1.23
814,동아에스티,170900,105000.0,9.12,11509.0,N/A,N/A,1.27,82868.0,0.95
815,JB금융지주,175330,4655.0,2.65,1756.0,3.0,1661.0,0.26,18076.0,6.45
816,한진칼,180640,83300.0,N/A,-8354.0,N/A,N/A,5.15,16188.0,0.31
817,한진칼우,18064K,51700.0,N/A,-8354.0,N/A,N/A,3.19,16188.0,0.54
818,NHN,181710,87600.0,89.57,978.0,22.0,4028.0,1.03,84732.0,N/A
819,아세아시멘트,183190,61800.0,8.92,6927.0,N/A,N/A,0.31,200271.0,2.43
820,종근당,185750,181500.0,32.43,5596.0,27.0,6614.0,4.08,44440.0,0.47
821,더블유게임즈,192080,76800.0,12.15,6320.0,10.0,7857.0,1.81,42480.0,0.46
822,쿠쿠홀딩스,192400,83400.0,7.58,11005.0,N/A,N/A,0.76,109200.0,3.6
823,드림텍,192650,18850.0,54.32,347.0,N/A,N/A,5.17,3646.0,0.85
824,코스맥스,192820,90300.0,32.85,2749.0,22.0,4080.0,2.61,34588.0,1.0
825,제이에스코퍼레이션,194370,6860.0,13.42,511.0,N/A,N/A,0.56,12203.0,7.29
826,해성디에스,195870,20100.0,12.68,1585.0,9.0,2129.0,1.61,12452.0,1.74
827,서연이화,200880,4060.0,N/A,-2226.0,N/A,N/A,0.18,22821.0,2.46
828,만도,204320,29850.0,13.74,2172.0,-196.0,-152.0,0.91,32859.0,1.84
829,삼성바이오로직스,207940,782000.0,186.1,4202.0,237.0,3300.0,11.78,66373.0,N/A
830,디와이파워,210540,11200.0,7.93,1412.0,N/A,N/A,0.72,15520.0,1.79
831,SK디앤디,210980,34500.0,10.21,3379.0,8.0,4284.0,1.83,18838.0,1.74
832,한솔제지,213500,13900.0,6.3,2206.0,N/A,N/A,0.55,25432.0,4.32
833,이노션,214320,49800.0,13.17,3782.0,14.0,3475.0,1.33,37366.0,3.01
834,금호에이치티,214330,2025.0,N/A,-62.0,N/A,N/A,0.89,2272.0,N/A
835,경보제약,214390,12500.0,58.14,215.0,N/A,N/A,2.01,6212.0,0.8
836,토니모리,214420,10700.0,N/A,-716.0,N/A,N/A,2.1,5104.0,N/A
