CODE,NAME,SECT.,STOCK NO.,CAPT.
3230,삼양식품,기타 식품 제조업,"7,533,015","37,665,075,000"
3240,태광산업,화학섬유 제조업,"1,113,400","5,567,000,000"
3280,흥아해운,해상 운송업,"116,732,559","58,366,279,500"
3300,한일홀딩스,"시멘트, 석회, 플라스터 및 그 제품 제조업","5,994,356","31,342,450,000"
3350,한국화장품제조,기타 화학제품 제조업,"4,532,000","2,266,000,000"
3410,쌍용양회공업,"시멘트, 석회, 플라스터 및 그 제품 제조업","503,859,595","505,403,280,000"
3460,유화증권,금융 지원 서비스업,"56,702,415","74,178,840,000"
3470,유안타증권,금융 지원 서비스업,"199,596,576","1,062,543,940,000"
3480,한진중공업홀딩스,연료용 가스 제조 및 배관공급업,"29,529,812","155,149,060,000"
3490,대한항공,항공 여객 운송업,"174,209,713","876,602,535,000"
3520,영진약품,의약품 제조업,"182,892,731","91,446,365,500"
3530,한화투자증권,금융 지원 서비스업,"214,547,775","1,096,738,875,000"
3540,대신증권,금융 지원 서비스업,"50,773,400","434,867,000,000"
3560,아이에이치큐,"영화, 비디오물, 방송프로그램 제작 및 배급업","146,235,748","73,117,874,000"
3570,S&T중공업,자동차 신품 부품 제조업,"33,252,697","85,631,742,500"
3580,넥스트사이언스,기타 비금속광물 광업,"32,012,942","16,006,471,000"
3610,방림,직물직조 및 직물제품 제조업,"42,314,090","21,157,045,000"
3620,쌍용자동차,자동차용 엔진 및 자동차 제조업,"149,840,002","749,200,010,000"
3650,미창석유공업,석유 정제품 제조업,"1,739,672","8,698,360,000"
3670,포스코케미칼,"내화, 비내화 요업제품 제조업","60,988,220","30,494,110,000"
3680,한성기업,수산물 가공 및 저장 처리업,"6,209,515","31,047,575,000"
3690,코리안리,재 보험업,"120,369,116","60,184,558,000"
3720,삼영화학공업,플라스틱제품 제조업,"34,000,000","17,000,000,000"
3780,진양산업,플라스틱제품 제조업,"13,000,000","6,500,000,000"
3830,대한화섬,화학섬유 제조업,"1,328,000","6,640,000,000"
3850,보령제약,의약품 제조업,"47,620,000","23,810,000,000"
3920,남양유업,낙농제품 및 식용빙과류 제조업,"720,000","4,433,310,000"
3960,사조대림,수산물 가공 및 저장 처리업,"9,164,467","45,822,335,000"
4000,롯데정밀화학,기초 화학물질 제조업,"25,800,000","129,000,000,000"
4020,현대제철,1차 철강 제조업,"133,445,785","667,228,925,000"
4060,SG세계물산,상품 종합 도매업,"202,424,960","101,212,480,000"
4080,신흥,기계장비 및 관련 물품 도매업,"9,600,000","6,733,070,000"
4090,한국석유공업,기타 비금속 광물제품 제조업,"655,200","3,276,000,000"
4100,태양금속공업,자동차 신품 부품 제조업,"36,700,000","20,000,000,000"
4140,동방,기타 운송관련 서비스업,"34,636,700","34,636,700,000"
4170,신세계,종합 소매업,"9,845,181","49,225,905,000"
4250,엔피씨,플라스틱제품 제조업,"36,720,000","21,000,000,000"
4270,남성,기타 전문 도매업,"36,212,160","18,106,080,000"
4310,현대약품,의약품 제조업,"32,000,000","16,000,000,000"
4360,세방,도로 화물 운송업,"19,308,690","11,498,970,000"
4370,농심,기타 식품 제조업,"6,082,642","30,413,210,000"
4380,삼익THK,일반 목적용 기계 제조업,"21,000,000","10,500,000,000"
4410,서울식품공업,기타 식품 제조업,"337,410,000","33,963,450,000"
4430,송원산업,기타 화학제품 제조업,"24,000,000","12,000,000,000"
4440,대림씨엔에스,"시멘트, 석회, 플라스터 및 그 제품 제조업","12,731,947","12,731,947,000"
4450,삼화왕관,기타 금속 가공제품 제조업,"2,154,379","10,771,895,000"
4490,세방전지,일차전지 및 축전지 제조업,"14,000,000","7,000,000,000"
4540,깨끗한나라,"펄프, 종이 및 판지 제조업","37,240,693","37,606,853,000"
4560,현대비앤지스틸,1차 철강 제조업,"15,078,811","75,943,315,000"
4690,삼천리,연료용 가스 제조 및 배관공급업,"4,055,025","20,275,125,000"
4700,조광피혁,"가죽, 가방 및 유사제품 제조업","6,649,138","34,245,690,000"
4710,한솔테크닉스,전자부품 제조업,"32,109,878","160,549,390,000"
4720,우리들제약,의약품 제조업,"13,706,224","6,853,112,000"
4770,써니전자,반도체 제조업,"34,845,011","18,372,505,500"
4830,덕성,플라스틱제품 제조업,"15,680,000","8,536,000,000"
