CODE,NAME,SECT.,STOCK NO.,CAPT.,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
001250,GS글로벌,상품 종합 도매업,"82,533,764","206,334,410,000",1720.0,N/A,-213.0,N/A,N/A,0.39,4401.0,N/A
001260,남광토건,토목 건설업,"9,828,611","49,143,055,000",10750.0,25.29,425.0,N/A,N/A,1.89,5692.0,N/A
001270,부국증권,금융 지원 서비스업,"10,369,886","66,849,430,000",19550.0,8.69,2251.0,N/A,N/A,0.36,53600.0,6.14
001290,상상인증권,금융 지원 서비스업,"96,108,437","97,411,913,000",1030.0,N/A,-11.0,N/A,N/A,0.63,1638.0,N/A
001340,백광산업,기초 화학물질 제조업,"44,918,407","22,459,203,500",3755.0,14.28,263.0,N/A,N/A,0.96,3925.0,2.0
001360,삼성제약,의약품 제조업,"61,549,713","30,774,856,500",4295.0,N/A,-187.0,N/A,N/A,1.89,2274.0,N/A
001380,SG충방,자동차 신품 부품 제조업,"44,964,143","22,482,071,500",1620.0,N/A,-2.0,N/A,N/A,0.55,2966.0,N/A
001390,KG케미칼,기초 화학물질 제조업,"13,013,232","67,374,405,000",21950.0,2.87,7636.0,N/A,N/A,0.82,26655.0,1.6
001420,태원물산,자동차 신품 부품 제조업,"7,600,000","3,800,000,000",3475.0,75.54,46.0,N/A,N/A,0.81,4269.0,2.45
001430,세아베스틸,1차 철강 제조업,"35,862,119","219,310,595,000",10350.0,16.48,628.0,14.0,751.0,0.2,53049.0,2.9
001440,대한전선,절연선 및 케이블 제조업,"856,473,009","428,236,504,500",743.0,N/A,-23.0,N/A,N/A,2.32,320.0,N/A
001460,BYC,봉제의복 제조업,"624,615","4,200,000,000",212000.0,7.0,30267.0,N/A,N/A,0.41,519728.0,0.52
001470,삼부토건,토목 건설업,"137,546,368","137,546,368,000",928.0,13.65,68.0,N/A,N/A,0.61,1521.0,N/A
001500,현대차증권,금융 지원 서비스업,"29,337,111","146,685,555,000",10150.0,4.44,2286.0,N/A,N/A,0.4,25572.0,5.91
001510,SK증권,금융 지원 서비스업,"472,590,171","238,251,342,500",870.0,870.0,1.0,N/A,N/A,0.72,1213.0,1.15
001520,동양,"시멘트, 석회, 플라스터 및 그 제품 제조업","238,684,063","119,850,042,500",1220.0,N/A,-9.0,N/A,N/A,0.3,4052.0,3.28
001530,디아이동일,상품 중개업,"2,465,609","12,328,045,000",75900.0,12.42,6110.0,N/A,N/A,0.28,273380.0,1.94
001550,조비,"비료, 농약 및 살균, 살충제 제조업","5,192,239","25,961,195,000",24700.0,1235.0,20.0,N/A,N/A,2.64,9342.0,N/A
001560,제일연마,기타 비금속 광물제품 제조업,"10,000,000","5,000,000,000",6520.0,11.16,584.0,N/A,N/A,0.6,10956.0,3.37
001570,금양,기초 화학물질 제조업,"44,048,135","22,024,067,500",4800.0,N/A,-236.0,N/A,N/A,2.49,1930.0,N/A
001620,케이비아이동국실업,자동차 신품 부품 제조업,"66,042,072","33,021,036,000",584.0,N/A,-117.0,N/A,N/A,0.23,2594.0,N/A
001630,종근당홀딩스,의약품 제조업,"5,009,861","12,524,652,500",123000.0,16.09,7643.0,N/A,N/A,1.3,94464.0,1.06
001680,대상,기타 식품 제조업,"34,648,025","36,018,248,000",25800.0,6.78,3805.0,8.0,3398.0,0.9,28718.0,2.33
001720,신영증권,금융 지원 서비스업,"9,386,237","82,200,000,000",45850.0,36.53,1255.0,N/A,N/A,0.34,135482.0,5.45
001740,SK네트웍스,기타 전문 도매업,"248,187,647","620,753,237,500",5180.0,N/A,-526.0,10.0,545.0,0.57,9045.0,2.32
001750,한양증권,금융 지원 서비스업,"12,728,534","66,267,670,000",9230.0,4.52,2040.0,N/A,N/A,0.41,22445.0,3.79
