,CAPT.,CODE,NAME,SECT.,STOCK NO.
593,"23,188,950,000",072710,농심홀딩스,기타 금융업,"4,637,790"
602,"473,501,020,000",078930,GS,기타 금융업,"92,915,378"
609,"806,792,925,000",082640,동양생명,보험업,"161,358,585"
615,"37,126,020,000",084690,대상홀딩스,기타 금융업,"36,212,538"
618,"885,080,945,000",085620,미래에셋생명,보험업,"177,016,189"
620,"1,501,210,310,000",086790,하나금융지주,기타 금융업,"300,242,062"
621,"31,670,795,000",088260,이리츠코크렙,부동산 임대 및 공급업,"63,341,590"
622,"4,342,650,000,000",088350,한화생명,보험업,"868,530,000"
647,"33,226,077,500",096760,JW홀딩스,기타 금융업,"66,452,155"
657,"43,993,012,000",102260,동성코퍼레이션,회사 본부 및 경영 컨설팅 서비스업,"43,993,012"
663,"2,090,557,685,000",105560,KB금융,기타 금융업,"415,807,920"
666,"1,315,887,000",107590,미원홀딩스,기타 금융업,"2,320,000"
692,"71,442,909,000",138040,메리츠금융지주,기타 금융업,"134,011,294"
695,"1,629,676,230,000",138930,BNK금융지주,기타 금융업,"325,935,246"
696,"845,729,165,000",139130,DGB금융지주,기타 금융업,"169,145,833"
698,"18,963,875,000",140910,에이리츠,부동산 임대 및 공급업,"3,792,775"
702,"46,224,127,000",145270,케이탑리츠,부동산 임대 및 공급업,"46,224,127"
717,"984,914,470,000",175330,JB금융지주,기타 금융업,"196,982,894"
723,"3,556,218,500",192400,쿠쿠홀딩스,기타 금융업,"7,112,437"
729,"39,134,075,000",204210,모두투어리츠,부동산 임대 및 공급업,"7,826,815"
733,"18,990,164,000",210980,SK디앤디,부동산 임대 및 공급업,"18,990,164"
741,"15,312,439,500",229640,LS전선아시아,기타 금융업,"30,624,879"
768,"52,330,123,000",293940,신한알파리츠,부동산 임대 및 공급업,"52,330,123"
779,"3,611,338,415,000",316140,우리금융지주,기타 금융업,"722,267,683"
780,"26,782,520,000",317400,자이에스앤디,부동산 임대 및 공급업,"26,782,520"
783,"85,984,442,000",330590,롯데리츠,부동산 임대 및 공급업,"171,968,884"
784,"24,000,000,000",334890,이지스밸류플러스리츠,부동산 임대 및 공급업,"24,000,000"
787,"9,330,000,000",338100,NH프라임리츠,부동산 임대 및 공급업,"18,660,000"
789,"165,600,000,000",348950,제이알글로벌리츠,부동산 임대 및 공급업,"165,600,000"
790,"20,600,000,000",350520,이지스레지던스리츠,부동산 임대 및 공급업,"20,600,000"
792,"20,100,000,000",357250,미래에셋맵스리츠,부동산 임대 및 공급업,"20,100,000"
